Song_id,Title,Artist,Valance,Arousal,Genre
9,Here Without You,3 Doors Down,106347,590000,rock
24,Imagine,A Perfect Circle,58333,479000,rock
53,The winner takes it all,ABBA,246363,722000,pop
66,Back In Black,AC/DC,312777,806000,rock
108,Jaded,Aerosmith,323377,806000,rock
127,If I thought you ever change your mind,Agnetha F_¢Æ_°À°Õltskog,246319,395000,vocal pop
145,Alone in Kyoto,Air,616490,148000,electro
154,La Femme D'argent,Air,890133,479000,electro
158,Playground love,Air,860104,269000,electro
166,Universal traveler,Air,634503,241000,electro
178,How can you mend a broken heart,Al Green,58318,360000,randb
181,Let's stay together,Al Green,902148,614000,randb
236,That I would be good,Alanis Morissette,58304,255000,rock
243,Your congratulations,Alanis Morissette,58290,148000,rock
260,Adagio,Tomaso Giovanni Albinoni,58273,1000,classical
303,Diary,Alicia Keys,805718,367000,randb
305,Harlems nocturne,Alicia Keys,58333,479000,randb
309,Karma,Alicia Keys,81748,614000,randb
358,O Meu Primeiro Amor,Am_¢Æ__lia Rodrigues,58303,248000,world
401,Left outside alone,Anastacia,73363,716000,pop
410,A natural disaster,Anathema,58346,584000,rock
419,Il Mare Calmo Della Sera (The Calm Evening Sea),Andrea Bocelli,641933,479000,vocal pop
458,The house of the rising sun,The Animals,81748,614000,rock
463,The look of love,Anita Baker,876333,479000,randb
481,Primitive,Annie Lennox,246303,241000,pop
498,Andorinha,Antonio Carlos Jobim,860076,50000,latin
502,Sabia,Antonio Carlos Jobim,874474,22000,latin
524,Last five,Archive,58304,269000,electro
536,Call me,Aretha Franklin,875733,479000,randb
553,The house that Jack built,Aretha Franklin,641391,896000,randb
554,Think,Aretha Franklin,891391,896000,randb
571,God bless the child,Art Farmer,906303,241000,jazz
575,Crusoe,Art of Noise,890074,22000,electro
602,Foolish,Ashanti,162133,479000,randb
605,Rain on me,Ashanti,242133,479000,randb
637,Los Ejes De Mi Carreta,Atahualpa Yupanqui,206674,22000,world
655,Fall to pieces,Avril Lavigne,246391,890000,pop
657,Freak out,Avril Lavigne,866791,896000,pop
658,He wasn't,Avril Lavigne,653407,981990,pop
662,My happy ending,Avril Lavigne,221791,896000,pop
663,Nobody's home,Avril Lavigne,58391,896000,pop
666,Take me away,Avril Lavigne,73391,896000,pop
667,Together,Avril Lavigne,73391,896000,pop
700,Piano Concerto No.5,Andr_¢Æ__s Schiff,106274,22000,classical
701,Air,Johann Sebastian Bach,106276,50000,classical
702,Aria,Glenn Gould,556473,1000,classical
710,Que ma joie demeure,Johann Sebastian Bach,875719,381000,classical
731,Eternal flame,The Bangles,875719,381000,pop
744,Adagio for string - Molto adagio,Samuel Barber,246274,8000,classical
764,Just the way you are,Barry White,875733,479000,pop
812,Come rain or come shine,B.B. King,246304,255000,blues
851,So what'cha want,Beastie Boys,322191,884000,electro
868,Michelle,The Beatles,246306,297000,rock
894,Mais feliz,Bebel Gilberto,836703,241000,latin
895,Samba da Ben_°À_¢Æ¢Ø_°À__o,Bebel Gilberto,906303,241000,latin
896,Samba e amor,Bebel Gilberto,874503,241000,latin
905,How deep is your love,Bee Gees,866705,283000,randb
926,"Piano sonata ""Moonlight""",Alfred Brendel,246290,148000,classical
931,Symphony No.3,Ludwig van Beethoven,58317,353000,classical
935,"Piano sonata ""Appassionata""",Alfred Brendel,246349,632000,classical
944,Piano sonata No.5 - adagio molto,Ludwig van Beethoven,556474,22000,classical
945,Piano sonata No.29 - adagio sostenuto,Alfred Brendel,58274,22000,classical
952,Samba de janeiro,Bellini,921407,981990,electro
953,Stand by me,Ben E. King,866719,395000,randb
