Song_id,Title,Artist,Valance,Arousal,Genre,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,have_sim
9,Here Without You,3 Doors Down,193392,671768,rock,133100,10908,22287,9343,162073,1
24,Imagine,A Perfect Circle,10951,539162,rock,11407,50493,6623,10275,120911,1
53,The winner takes it all,ABBA,239736,732769,pop,1428,12000,731,2789,5460,1
66,Back In Black,AC/DC,292307,771174,rock,3779,11078,14151,4892,86433,1
108,Jaded,Aerosmith,364806,747520,rock,66,4892,6569,14151,168023,1
145,Alone in Kyoto,Air,682727,56621,electro,186682,5596,11581,5645,2360,1
154,La Femme D'argent,Air,898416,419447,electro,5596,5645,11581,120894,60205,1
158,Playground love,Air,779671,283479,electro,186682,5596,5645,11581,38530,1
166,Universal traveler,Air,553704,284365,electro,5596,11581,2360,5645,6400,1
178,How can you mend a broken heart,Al Green,29980,406997,randb,181,6227,2802,1102,7059,1
181,Let's stay together,Al Green,853993,583317,randb,1102,7763,6227,953,7059,1
236,That I would be good,Alanis Morissette,47774,314012,rock,13686,3527,663,10926,2700,1
243,Your congratulations,Alanis Morissette,90201,205732,rock,-1,-1,-1,-1,-1,0
260,Adagio,Tomaso Giovanni Albinoni,25955,46452,classical,3674,701,-1,-1,-1,1
303,Diary,Alicia Keys,728880,345376,randb,4868,98745,602,98868,44268,1
305,Harlems nocturne,Alicia Keys,1790,497313,randb,126233,72530,61232,4868,1445,1
309,Karma,Alicia Keys,50060,593534,randb,72524,8086,8087,126233,4579,1
401,Left outside alone,Anastacia,49082,701812,pop,130663,2000,3633,2624,61223,1
410,A natural disaster,Anathema,45092,492577,rock,12366,139353,20620,-1,-1,1
419,Il Mare Calmo Della Sera (The Calm Evening Sea),Andrea Bocelli,618258,404262,vocal pop,-1,-1,-1,-1,-1,0
458,The house of the rising sun,The Animals,4490,671587,rock,6929,12777,132806,4263,7282,1
463,The look of love,Anita Baker,931301,449281,randb,134418,-1,-1,-1,-1,1
481,Primitive,Annie Lennox,318977,318944,pop,42781,-1,-1,-1,-1,1
498,Andorinha,Antonio Carlos Jobim,833144,74160,latin,896,154948,-1,-1,-1,1
502,Sabia,Antonio Carlos Jobim,957163,95356,latin,896,154948,97711,-1,-1,1
