Song_id,Title,Artist,Valance,Arousal,Genre,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,have_sim
0,Here Without You,3 Doors Down,193392,671768,rock,2435,647,869,594,3074,1
1,Imagine,A Perfect Circle,10951,539162,rock,661,1324,454,630,2118,1
2,The winner takes it all,ABBA,239736,732769,pop,91,674,45,176,336,1
3,Back In Black,AC/DC,292307,771174,rock,242,652,770,299,1649,1
4,Jaded,Aerosmith,364806,747520,rock,4,299,442,770,3206,1
5,Alone in Kyoto,Air,682727,56621,electro,4006,340,663,346,149,1
6,La Femme D'argent,Air,898416,419447,electro,340,346,663,2117,1394,1
7,Playground love,Air,779671,283479,electro,4006,340,346,663,1143,1
8,Universal traveler,Air,553704,284365,electro,340,663,149,346,428,1
9,How can you mend a broken heart,Al Green,29980,406997,randb,11,403,177,70,488,1
10,Let's stay together,Al Green,853993,583317,randb,70,526,403,60,488,1
11,That I would be good,Alanis Morissette,47774,314012,rock,734,232,39,648,172,1
12,Your congratulations,Alanis Morissette,90201,205732,rock,-1,-1,-1,-1,-1,0
13,Adagio,Tomaso Giovanni Albinoni,25955,46452,classical,238,42,-1,-1,-1,1
14,Diary,Alicia Keys,728880,345376,randb,292,1776,32,1779,1264,1
15,Harlems nocturne,Alicia Keys,1790,497313,randb,2267,1565,1407,292,92,1
16,Karma,Alicia Keys,50060,593534,randb,1563,550,551,2267,277,1
17,Left outside alone,Anastacia,49082,701812,pop,2347,132,235,165,1405,1
18,A natural disaster,Anathema,45092,492577,rock,685,2577,812,-1,-1,1
19,Il Mare Calmo Della Sera (The Calm Evening Sea),Andrea Bocelli,618258,404262,vocal pop,-1,-1,-1,-1,-1,0
20,The house of the rising sun,The Animals,4490,671587,rock,484,708,2427,262,511,1
21,The look of love,Anita Baker,931301,449281,randb,2454,-1,-1,-1,-1,1
22,Primitive,Annie Lennox,318977,318944,pop,1226,-1,-1,-1,-1,1
23,Andorinha,Antonio Carlos Jobim,833144,74160,latin,52,2933,-1,-1,-1,1
24,Sabia,Antonio Carlos Jobim,957163,95356,latin,52,2933,1768,-1,-1,1
25,Last five,Archive,105113,225478,electro,431,435,-1,-1,-1,1
26,Call me,Aretha Franklin,865127,518835,randb,11,70,1593,73,292,1
27,The house that Jack built,Aretha Franklin,677121,917020,randb,11,403,488,526,371,1
28,Think,Aretha Franklin,897881,943517,randb,215,403,11,60,488,1
29,God bless the child,Art Farmer,845500,276812,jazz,-1,-1,-1,-1,-1,0
30,Crusoe,Art of Noise,937564,24829,electro,-1,-1,-1,-1,-1,0
31,Foolish,Ashanti,74090,577913,randb,1247,3994,92,2267,254,1
32,Rain on me,Ashanti,151207,398643,randb,733,1253,254,1407,-1,1
