Seed_id,id,Title,Artist,Similarity,
9,133100,Never Too Late,Three Days Grace,0.344,1
9,10908,Iris,Goo Goo Dolls,0.281,1
9,22287,Breath,Breaking Benjamin,0.254,1
9,9343,So Far Away,Staind,0.252,1
9,162073,How to Save a Life,The Fray,0.239,1
9,143340,You Found Me,The Fray,0.221,1
9,124939,Paralyzer,Finger Eleven,0.22,1
9,166796,Secrets,OneRepublic,0.218,1
9,141912,Comatose,Skillet,0.213,1
9,3413,Best of You,Foo Fighters,0.212,1
9,14067,Be Yourself,Audioslave,0.207,1
9,6741,Otherside,Red Hot Chili Peppers,0.199,1
9,120911,Wasteland,10 Years,0.173,1
9,91886,Forever,Papa Roach,0.172,1
9,11407,Smooth Criminal,Alien Ant Farm,0.153,1
9,64922,All Around Me,Flyleaf,0.128,1
9,49156,Crawling in the Dark,Hoobastank,0.111,1
9,22102,The Outsider,A Perfect Circle,0.079,1
9,166942,White Sparrows,Billy Talent,0.049,1
9,108473,Boulevard of Broken Dreams,Green Day,0.01,1
9,9118,I Don't Want to Miss a Thing,Aerosmith,0.009,1
9,9055,Lonely Day,System of a Down,0.008,1
9,3775,Don't Cry,Guns N' Roses,0.008,1
9,12514,Tears Don't Fall,Bullet for My Valentine,0.007,1
9,10981,Prayer of the Refugee,Rise Against,0.007,1
9,7127,Still Loving You,Scorpions,0.007,1
9,15452,Hey There Delilah,Plain White T's,0.006,1
9,168260,So Far Away,Avenged Sevenfold,0.006,1
9,2911,Hotel California,Eagles,0.005,1
9,86956,Bother,Stone Sour,0.005,1
9,66,Back in Black,AC/DC,0.004,1
9,42832,Goodbye My Lover,James Blunt,0.003,1
9,162160,Ocean Avenue,Yellowcard,0.003,1
24,11407,Smooth Criminal,Alien Ant Farm,0.106,1
24,50493,The Man Who Sold the World,Nirvana,0.06,1
24,6623,Exit Music (for a Film),Radiohead,0.058,1
24,10275,Lucky,Radiohead,0.051,1
24,120911,Wasteland,10 Years,0.041,1
24,64922,All Around Me,Flyleaf,0.032,1
24,11581,Teardrop,Massive Attack,0.002,1
24,86992,Aerials,System of a Down,0.002,1
24,86990,Toxicity,System of a Down,0.002,1
24,14067,Be Yourself,Audioslave,0.002,1
24,50801,Hey You,Pink Floyd,0.002,1
24,66558,Romeo and Juliet,The Killers,0.002,1
24,410,A Natural Disaster,Anathema,0.002,1
53,1428,Total Eclipse of the Heart,Bonnie Tyler,0.176,1
53,12000,Holding Out for a Hero,Bonnie Tyler,0.122,1
53,731,Eternal Flame,The Bangles,0.108,1
53,2789,Hot Stuff,Donna Summer,0.1,1
53,5460,Beat It,Michael Jackson,0.098,1
53,8157,YMCA,Village People,0.049,1
53,6431,Don't Get Me Wrong,The Pretenders,0.048,1
