Song_id,Title,Artist,Valance,Arousal,Genre
9,Here Without You,3 Doors Down,193392,671768,rock
24,Imagine,A Perfect Circle,10951,539162,rock
53,The winner takes it all,ABBA,239736,732769,pop
66,Back In Black,AC/DC,292307,771174,rock
108,Jaded,Aerosmith,364806,747520,rock
127,If I thought you ever change your mind,Agnetha F____¢Æ_¢Æ_ltskog,251689,300728,vocal pop
145,Alone in Kyoto,Air,682727,56621,electro
154,La Femme D'argent,Air,898416,419447,electro
158,Playground love,Air,779671,283479,electro
166,Universal traveler,Air,553704,284365,electro
178,How can you mend a broken heart,Al Green,29980,406997,randb
181,Let's stay together,Al Green,853993,583317,randb
236,That I would be good,Alanis Morissette,47774,314012,rock
243,Your congratulations,Alanis Morissette,90201,205732,rock
260,Adagio,Tomaso Giovanni Albinoni,25955,46452,classical
303,Diary,Alicia Keys,728880,345376,randb
305,Harlems nocturne,Alicia Keys,1790,497313,randb
309,Karma,Alicia Keys,50060,593534,randb
358,O Meu Primeiro Amor,Am_____lia Rodrigues,3284,221584,world
401,Left outside alone,Anastacia,49082,701812,pop
410,A natural disaster,Anathema,45092,492577,rock
419,Il Mare Calmo Della Sera (The Calm Evening Sea),Andrea Bocelli,618258,404262,vocal pop
458,The house of the rising sun,The Animals,4490,671587,rock
463,The look of love,Anita Baker,931301,449281,randb
481,Primitive,Annie Lennox,318977,318944,pop
498,Andorinha,Antonio Carlos Jobim,833144,74160,latin
502,Sabia,Antonio Carlos Jobim,957163,95356,latin
524,Last five,Archive,105113,225478,electro
536,Call me,Aretha Franklin,865127,518835,randb
553,The house that Jack built,Aretha Franklin,677121,917020,randb
554,Think,Aretha Franklin,897881,943517,randb
571,God bless the child,Art Farmer,845500,276812,jazz
575,Crusoe,Art of Noise,937564,24829,electro
602,Foolish,Ashanti,74090,577913,randb
605,Rain on me,Ashanti,151207,398643,randb
637,Los Ejes De Mi Carreta,Atahualpa Yupanqui,223367,31829,world
655,Fall to pieces,Avril Lavigne,313077,841554,pop
657,Freak out,Avril Lavigne,856144,905636,pop
658,He wasn't,Avril Lavigne,603532,913384,pop
662,My happy ending,Avril Lavigne,194210,858826,pop
663,Nobody's home,Avril Lavigne,27294,911351,pop
666,Take me away,Avril Lavigne,24250,948301,pop
667,Together,Avril Lavigne,7992,873847,pop
700,Piano Concerto No.5,Andr_____s Schiff,42362,18518,classical
701,Air,Johann Sebastian Bach,96527,63654,classical
702,Aria,Glenn Gould,552460,86847,classical
710,Que ma joie demeure,Johann Sebastian Bach,794490,425137,classical
731,Eternal flame,The Bangles,901724,309516,pop
744,Adagio for string - Molto adagio,Samuel Barber,191186,15451,classical
764,Just the way you are,Barry White,904477,524401,pop
812,Come rain or come shine,B.B. King,239800,233290,blues
851,So what'cha want,Beastie Boys,246003,876843,electro
868,Michelle,The Beatles,310823,388832,rock
894,Mais feliz,Bebel Gilberto,882352,162339,latin
895,Samba da Ben_¢Æ_______¢Æ___o,Bebel Gilberto,898867,320499,latin
896,Samba e amor,Bebel Gilberto,946069,181715,latin
905,How deep is your love,Bee Gees,960784,378482,randb
926,"Piano sonata ""Moonlight""",Alfred Brendel,301081,60584,classical
931,Symphony No.3,Ludwig van Beethoven,71404,400704,classical
935,"Piano sonata ""Appassionata""",Alfred Brendel,190702,625661,classical
944,Piano sonata No.5 - adagio molto,Ludwig van Beethoven,511643,28011,classical
945,Piano sonata No.29 - adagio sostenuto,Alfred Brendel,54823,115544,classical
952,Samba de janeiro,Bellini,958913,889184,electro
953,Stand by me,Ben E. King,887304,439247,randb
955,Another lonely day,Ben Harper,142400,61772,rock
960,Dust my broom,Ben Harper,243355,468385,rock
974,Please me like you want to,Ben Harper,784382,294269,rock
991,My Romance,Ben Webster,961466,54722,jazz
1004,Requiem,Hector Berlioz,88435,190052,classical
1006,Requiem,Hector Berlioz,130615,3180,classical
1022,Devil's gonna get you,Bessie Smith,304814,312622,blues
1031,Open the door,Betty Carter,876521,446233,jazz
1036,Crazy in love,Beyonc_É,864200,823707,randb
1037,Dangerously in love 2,Beyonc_É,54308,283918,randb
1039,Gift from Virgo,Beyonc_É,844136,6974,randb
1071,April in Paris,Bill Evans,580186,148064,jazz
1102,Ain't no sunshine,Bill Withers,281709,366840,randb
1125,Gloomy sunday,Billie Holiday,14448,185230,jazz
1140,You Within Me Within You,Billy Cobham,523476,196910,jazz
1170,Me and Mrs Jones,Billy Paul,908324,435700,randb
1193,Cocoon,Bj_____rk,83244,116205,electro
1197,Harm of will,Bj_____rk,152910,154566,electro
1199,Hidden place,Bj_____rk,68784,307148,electro
1201,Hunter,Bj_____rk,100799,670491,electro
1206,Like someone in love,Bj_____rk,885143,40039,electro
1211,Pluto,Bj_____rk,12361,710582,electro
1258,I miss you,Blink-182,120627,655729,rock
1260,Atomic,Blondie,808276,816070,pop
1272,Everybody Needs Somebody to Love,Blues Brothers,892719,933734,randb
1283,No distance left to run,Blur,97122,276727,rock
1287,Song 2,Blur,914095,853757,rock
1308,Blowin' in the wind,Bob Dylan,147729,381356,folk
1320,Lay lady lay,Bob Dylan,952411,324284,folk
1321,Maggie's farm,Bob Dylan,355968,670714,folk
1324,Pledging my time,Bob Dylan,293823,463565,folk
1327,The Man In Me,Bob Dylan,794758,474649,folk
1329,Tomorrow is a long time,Bob Dylan,256985,131121,folk
1347,Could you be loved,Bob Marley,943683,566495,reggae
1352,Is this love,Bob Marley,969576,480030,reggae
1353,Jammin',Bob Marley,960780,521411,reggae
1355,No woman no cry,Bob Marley,803242,507858,reggae
1358,Redemption song,Bob Marley,172133,522776,reggae
1362,Waiting in vain,Bob Marley,536772,406483,reggae
1428,Total eclipse of the heart,Bonnie Tyler,4915,753206,vocal pop
1445,End of the road,Boyz II Men,730904,441226,randb
1447,Song-song,Brad Mehldau,552084,221466,jazz
1456,Talk about our love,Brandy,857997,484428,randb
1480,Slave to love,Bryan Ferry,924957,495967,rock
1494,Everytime,Britney Spears,50617,477507,pop
1505,That's where you take me,Britney Spears,896221,324983,pop
1545,Crawlin' kingsnake,Buddy Guy,326186,515322,blues
1547,I cry and sing the blues,Buddy Guy,1115,554866,blues
1548,Mustang Sally,Buddy Guy,575270,927577,blues
1558,Chan chan,Buena Vista Social Club,873273,300613,latin
1560,Dos gardenias,Buena Vista Social Club,841993,366782,latin
1564,Murmullo,Buena Vista Social Club,886943,197520,latin
1565,Orgullecida,Buena Vista Social Club,872207,296439,latin
1567,Veinte anos,Buena Vista Social Club,974798,403659,latin
